CDMA Fwd 출력(or AGC) (Avg)
RANGE = 26
UPPER = 22
27.0 dBm = 2.497
26.0 dBm = 2.428
25.0 dBm = 2.359
24.0 dBm = 2.289
23.0 dBm = 2.220
22.0 dBm = 2.147
21.0 dBm = 2.074
20.0 dBm = 2.001
19.0 dBm = 1.934
18.0 dBm = 1.867
17.0 dBm = 1.800
16.0 dBm = 1.731
15.0 dBm = 1.663
14.0 dBm = 1.594
13.0 dBm = 1.531
12.0 dBm = 1.467
11.0 dBm = 1.404
10.0 dBm = 1.343
9.0 dBm = 1.283
8.0 dBm = 1.222
LTE-A1 Fwd 출력(or AGC) (Avg)
RANGE = 26
UPPER = 25
25.0 dBm = 3.117
24.0 dBm = 3.049
23.0 dBm = 2.981
22.0 dBm = 2.912
21.0 dBm = 2.844
20.0 dBm = 2.780
19.0 dBm = 2.717
18.0 dBm = 2.653
17.0 dBm = 2.591
16.0 dBm = 2.528
15.0 dBm = 2.466
14.0 dBm = 2.405
13.0 dBm = 2.344
12.0 dBm = 2.283
11.0 dBm = 2.222
10.0 dBm = 2.161
9.0 dBm = 2.100
8.0 dBm = 2.038
7.0 dBm = 1.976
6.0 dBm = 1.914
5.0 dBm = 1.850
4.0 dBm = 1.786
3.0 dBm = 1.722
2.0 dBm = 1.665
1.0 dBm = 1.609
0.0 dBm = 1.552
LTE-A1 RVS 출력
RANGE = 21
UPPER = 26
26.0 dBm = 3.342
25.0 dBm = 3.269
24.0 dBm = 3.195
23.0 dBm = 3.121
22.0 dBm = 3.048
21.0 dBm = 2.974
20.0 dBm = 2.908
19.0 dBm = 2.841
18.0 dBm = 2.775
17.0 dBm = 2.717
16.0 dBm = 2.658
15.0 dBm = 2.600
14.0 dBm = 2.536
13.0 dBm = 2.473
12.0 dBm = 2.409
11.0 dBm = 2.347
10.0 dBm = 2.286
9.0 dBm = 2.224
8.0 dBm = 2.164
7.0 dBm = 2.104
6.0 dBm = 2.044
LTE-A2 Fwd 출력(or AGC) (Avg)
RANGE = 26
UPPER = 28
28.0 dBm = 2.283
27.0 dBm = 2.229
26.0 dBm = 2.175
25.0 dBm = 2.121
24.0 dBm = 2.067
23.0 dBm = 2.022
22.0 dBm = 1.978
21.0 dBm = 1.933
20.0 dBm = 1.884
19.0 dBm = 1.834
18.0 dBm = 1.785
17.0 dBm = 1.738
16.0 dBm = 1.691
15.0 dBm = 1.644
14.0 dBm = 1.602
13.0 dBm = 1.559
12.0 dBm = 1.517
11.0 dBm = 1.468
10.0 dBm = 1.418
9.0 dBm = 1.369
8.0 dBm = 1.323
7.0 dBm = 1.278
6.0 dBm = 1.232
5.0 dBm = 1.193
4.0 dBm = 1.153
3.0 dBm = 1.114
LTE-A2 RVS 출력
RANGE = 21
UPPER = 26
26.0 dBm = 2.974
25.0 dBm = 2.917
24.0 dBm = 2.859
23.0 dBm = 2.801
22.0 dBm = 2.744
21.0 dBm = 2.686
20.0 dBm = 2.636
19.0 dBm = 2.586
18.0 dBm = 2.536
17.0 dBm = 2.475
16.0 dBm = 2.415
15.0 dBm = 2.354
14.0 dBm = 2.291
13.0 dBm = 2.227
12.0 dBm = 2.164
11.0 dBm = 2.107
10.0 dBm = 2.051
9.0 dBm = 1.994
8.0 dBm = 1.938
7.0 dBm = 1.882
6.0 dBm = 1.826
LTE-A(공통부) Fwd 입력
RANGE = 32
UPPER = -15
-15.0 dBm = 1.974
-16.0 dBm = 1.932
-17.0 dBm = 1.891
-18.0 dBm = 1.849
-19.0 dBm = 1.849
-20.0 dBm = 1.813
-21.0 dBm = 1.776
-22.0 dBm = 1.740
-23.0 dBm = 1.702
-24.0 dBm = 1.663
-25.0 dBm = 1.625
-26.0 dBm = 1.585
-27.0 dBm = 1.546
-28.0 dBm = 1.506
-29.0 dBm = 1.468
-30.0 dBm = 1.430
-31.0 dBm = 1.392
-32.0 dBm = 1.358
-33.0 dBm = 1.324
-34.0 dBm = 1.290
-35.0 dBm = 1.256
-36.0 dBm = 1.221
-37.0 dBm = 1.187
-38.0 dBm = 1.152
-39.0 dBm = 1.117
-40.0 dBm = 1.082
-41.0 dBm = 1.042
-42.0 dBm = 1.003
-43.0 dBm = 0.963
-44.0 dBm = 0.929
-45.0 dBm = 0.896
-46.0 dBm = 0.862
LTE-A(공통부) Fwd 출력 (Avg)
RANGE = 21
UPPER = 28
28.0 dBm = 3.196
27.0 dBm = 3.130
26.0 dBm = 3.064
25.0 dBm = 2.998
24.0 dBm = 2.932
23.0 dBm = 2.866
22.0 dBm = 2.792
21.0 dBm = 2.719
20.0 dBm = 2.645
19.0 dBm = 2.582
18.0 dBm = 2.518
17.0 dBm = 2.455
16.0 dBm = 2.398
15.0 dBm = 2.340
14.0 dBm = 2.283
13.0 dBm = 2.221
12.0 dBm = 2.159
11.0 dBm = 2.097
10.0 dBm = 2.034
9.0 dBm = 1.970
8.0 dBm = 1.907
LTE-A(공통부) Rvs 입력
RANGE = 39
UPPER = -12
-12.0 dBm = 2.156
-13.0 dBm = 2.112
-14.0 dBm = 2.068
-15.0 dBm = 2.024
-16.0 dBm = 1.980
-17.0 dBm = 1.936
-18.0 dBm = 1.900
-19.0 dBm = 1.864
-20.0 dBm = 1.828
-21.0 dBm = 1.792
-22.0 dBm = 1.757
-23.0 dBm = 1.721
-24.0 dBm = 1.679
-25.0 dBm = 1.636
-26.0 dBm = 1.594
-27.0 dBm = 1.549
-28.0 dBm = 1.504
-29.0 dBm = 1.459
-30.0 dBm = 1.417
-31.0 dBm = 1.376
-32.0 dBm = 1.334
-33.0 dBm = 1.294
-34.0 dBm = 1.255
-35.0 dBm = 1.215
-36.0 dBm = 1.173
-37.0 dBm = 1.130
-38.0 dBm = 1.088
-39.0 dBm = 1.058
-40.0 dBm = 1.028
-41.0 dBm = 0.998
-42.0 dBm = 0.962
-43.0 dBm = 0.926
-44.0 dBm = 0.890
-45.0 dBm = 0.853
-46.0 dBm = 0.816
-47.0 dBm = 0.779
-48.0 dBm = 0.750
-49.0 dBm = 0.721
-50.0 dBm = 0.692
LTE-A(공통부) RVS 출력
RANGE = 21
UPPER = 28
28.0 dBm = 3.346
27.0 dBm = 3.322
26.0 dBm = 3.299
25.0 dBm = 3.276
24.0 dBm = 3.252
23.0 dBm = 3.229
22.0 dBm = 3.165
21.0 dBm = 3.101
20.0 dBm = 3.037
19.0 dBm = 2.968
18.0 dBm = 2.898
17.0 dBm = 2.829
16.0 dBm = 2.757
15.0 dBm = 2.685
14.0 dBm = 2.613
13.0 dBm = 2.550
12.0 dBm = 2.487
11.0 dBm = 2.424
10.0 dBm = 2.359
9.0 dBm = 2.294
8.0 dBm = 2.229
WCDMA Fwd 입력
RANGE = 34
UPPER = -17
-17.0 dBm = 2.390
-18.0 dBm = 2.347
-19.0 dBm = 2.304
-20.0 dBm = 2.261
-21.0 dBm = 2.217
-22.0 dBm = 2.172
-23.0 dBm = 2.128
-24.0 dBm = 2.083
-25.0 dBm = 2.039
-26.0 dBm = 1.994
-27.0 dBm = 1.954
-28.0 dBm = 1.913
-29.0 dBm = 1.873
-30.0 dBm = 1.833
-31.0 dBm = 1.792
-32.0 dBm = 1.752
-33.0 dBm = 1.712
-34.0 dBm = 1.672
-35.0 dBm = 1.632
-36.0 dBm = 1.593
-37.0 dBm = 1.553
-38.0 dBm = 1.514
-39.0 dBm = 1.474
-40.0 dBm = 1.433
-41.0 dBm = 1.393
-42.0 dBm = 1.356
-43.0 dBm = 1.318
-44.0 dBm = 1.281
-45.0 dBm = 1.246
-46.0 dBm = 1.212
-47.0 dBm = 1.177
-48.0 dBm = 1.138
-49.0 dBm = 1.100
-50.0 dBm = 1.061
WCDMA Fwd 출력(or AGC) (Avg)
RANGE = 21
UPPER = 28
28.0 dBm = 2.471
27.0 dBm = 2.404
26.0 dBm = 2.336
25.0 dBm = 2.268
24.0 dBm = 2.201
23.0 dBm = 2.133
22.0 dBm = 2.069
21.0 dBm = 2.004
20.0 dBm = 1.940
19.0 dBm = 1.881
18.0 dBm = 1.821
17.0 dBm = 1.762
16.0 dBm = 1.702
15.0 dBm = 1.643
14.0 dBm = 1.583
13.0 dBm = 1.526
12.0 dBm = 1.469
11.0 dBm = 1.412
10.0 dBm = 1.360
9.0 dBm = 1.307
8.0 dBm = 1.255
WCDMA RVS 입력
RANGE = 31
UPPER = -12
-12.0 dBm = 2.464
-13.0 dBm = 2.426
-14.0 dBm = 2.388
-15.0 dBm = 2.350
-16.0 dBm = 2.308
-17.0 dBm = 2.267
-18.0 dBm = 2.225
-19.0 dBm = 2.183
-20.0 dBm = 2.140
-21.0 dBm = 2.098
-22.0 dBm = 2.048
-23.0 dBm = 1.998
-24.0 dBm = 1.948
-25.0 dBm = 1.911
-26.0 dBm = 1.874
-27.0 dBm = 1.837
-28.0 dBm = 1.794
-29.0 dBm = 1.752
-30.0 dBm = 1.709
-31.0 dBm = 1.677
-32.0 dBm = 1.646
-33.0 dBm = 1.614
-34.0 dBm = 1.572
-35.0 dBm = 1.530
-36.0 dBm = 1.488
-37.0 dBm = 1.455
-38.0 dBm = 1.421
-39.0 dBm = 1.388
-40.0 dBm = 1.347
-41.0 dBm = 1.307
-42.0 dBm = 1.266
WCDMA RVS 출력
RANGE = 58
UPPER = 26
26.0 dBm = 3.299
25.0 dBm = 3.250
24.0 dBm = 3.202
23.0 dBm = 3.153
22.0 dBm = 3.082
21.0 dBm = 3.010
20.0 dBm = 2.939
19.0 dBm = 2.882
18.0 dBm = 2.825
17.0 dBm = 2.768
16.0 dBm = 2.694
15.0 dBm = 2.619
14.0 dBm = 2.545
13.0 dBm = 2.486
12.0 dBm = 2.426
11.0 dBm = 2.367
10.0 dBm = 2.308
9.0 dBm = 2.250
8.0 dBm = 2.191
7.0 dBm = 2.122
6.0 dBm = 2.052
5.0 dBm = 1.983
4.0 dBm = 1.924
3.0 dBm = 1.864
2.0 dBm = 1.805
1.0 dBm = 1.733
0.0 dBm = 1.662
-1.0 dBm = 1.590
-2.0 dBm = 1.530
-3.0 dBm = 1.471
-4.0 dBm = 1.411
-5.0 dBm = 1.353
-6.0 dBm = 1.294
-7.0 dBm = 1.236
-8.0 dBm = 1.184
-9.0 dBm = 1.131
-10.0 dBm = 1.079
-11.0 dBm = 1.036
-12.0 dBm = 0.993
-13.0 dBm = 0.950
-14.0 dBm = 0.915
-15.0 dBm = 0.880
-16.0 dBm = 0.845
-17.0 dBm = 0.827
-18.0 dBm = 0.810
-19.0 dBm = 0.792
-20.0 dBm = 0.781
-21.0 dBm = 0.769
-22.0 dBm = 0.758
-23.0 dBm = 0.752
-24.0 dBm = 0.746
-25.0 dBm = 0.740
-26.0 dBm = 0.737
-27.0 dBm = 0.734
-28.0 dBm = 0.731
-29.0 dBm = 0.730
-30.0 dBm = 0.729
-31.0 dBm = 0.728
CDMA FWD ATT 1
RANGE = 61
UPPER = 30.0
30.0 dB = 1.0
29.5 dB = 1.0
29.0 dB = 1.0
28.5 dB = 1.0
28.0 dB = 1.0
27.5 dB = 1.0
27.0 dB = 1.0
26.5 dB = 0.5
26.0 dB = 0.5
25.5 dB = 0.5
25.0 dB = 0.5
24.5 dB = 0.5
24.0 dB = 0.5
23.5 dB = 0.5
23.0 dB = 0.5
22.5 dB = 0.5
22.0 dB = 0.5
21.5 dB = 0.5
21.0 dB = 0.5
20.5 dB = 0.5
20.0 dB = 0.5
19.5 dB = 0.5
19.0 dB = 0.5
18.5 dB = 0.5
18.0 dB = 0.5
17.5 dB = 0.5
17.0 dB = 0.5
16.5 dB = 0.5
16.0 dB = 0.5
15.5 dB = 0.5
15.0 dB = 0.5
14.5 dB = 0.5
14.0 dB = 0.5
13.5 dB = 0.5
13.0 dB = 0.5
12.5 dB = 0.5
12.0 dB = 0.5
11.5 dB = 0.5
11.0 dB = 0.5
10.5 dB = 0.5
10.0 dB = 0.5
9.5 dB = 0.5
9.0 dB = 0.5
8.5 dB = 0.0
8.0 dB = 0.0
7.5 dB = 0.0
7.0 dB = 0.0
6.5 dB = 0.0
6.0 dB = 0.0
5.5 dB = 0.0
5.0 dB = 0.0
4.5 dB = 0.0
4.0 dB = 0.0
3.5 dB = 0.0
3.0 dB = 0.0
2.5 dB = 0.0
2.0 dB = 0.0
1.5 dB = 0.0
1.0 dB = 0.0
0.5 dB = 0.0
0.0 dB = 0.0
CDMA FWD ATT 2
RANGE = 61
UPPER = 30.0
30.0 dB = 0.5
29.5 dB = 0.5
29.0 dB = 0.5
28.5 dB = 0.5
28.0 dB = 0.5
27.5 dB = 0.5
27.0 dB = 0.5
26.5 dB = 0.5
26.0 dB = 0.5
25.5 dB = 0.5
25.0 dB = 0.5
24.5 dB = 0.5
24.0 dB = 0.5
23.5 dB = 0.5
23.0 dB = 0.5
22.5 dB = 0.5
22.0 dB = 0.5
21.5 dB = 0.5
21.0 dB = 0.5
20.5 dB = 0.5
20.0 dB = 0.5
19.5 dB = 0.5
19.0 dB = 0.5
18.5 dB = 0.5
18.0 dB = 0.5
17.5 dB = 0.5
17.0 dB = 0.5
16.5 dB = 0.5
16.0 dB = 0.5
15.5 dB = 0.5
15.0 dB = 0.5
14.5 dB = 0.5
14.0 dB = 0.5
13.5 dB = 0.5
13.0 dB = 0.5
12.5 dB = 0.5
12.0 dB = 0.5
11.5 dB = 0.5
11.0 dB = 0.5
10.5 dB = 0.5
10.0 dB = 0.5
9.5 dB = 0.5
9.0 dB = 0.5
8.5 dB = 0.0
8.0 dB = 0.0
7.5 dB = 0.0
7.0 dB = 0.0
6.5 dB = 0.0
6.0 dB = 0.0
5.5 dB = 0.0
5.0 dB = 0.0
4.5 dB = 0.0
4.0 dB = 0.0
3.5 dB = 0.0
3.0 dB = 0.0
2.5 dB = 0.0
2.0 dB = 0.0
1.5 dB = 0.0
1.0 dB = 0.0
0.5 dB = 0.0
0.0 dB = 0.0
CDMA RVS ATT 1
RANGE = 61
UPPER = 30.0
30.0 dB = 1.0
29.5 dB = 1.0
29.0 dB = 1.0
28.5 dB = 1.0
28.0 dB = 1.0
27.5 dB = 1.0
27.0 dB = 1.0
26.5 dB = 1.0
26.0 dB = 1.0
25.5 dB = 1.0
25.0 dB = 1.0
24.5 dB = 1.0
24.0 dB = 1.0
23.5 dB = 1.0
23.0 dB = 0.5
22.5 dB = 0.5
22.0 dB = 0.5
21.5 dB = 0.5
21.0 dB = 0.5
20.5 dB = 0.5
20.0 dB = 0.5
19.5 dB = 0.5
19.0 dB = 0.5
18.5 dB = 0.5
18.0 dB = 0.5
17.5 dB = 0.5
17.0 dB = 0.5
16.5 dB = 0.5
16.0 dB = 0.5
15.5 dB = 0.5
15.0 dB = 0.5
14.5 dB = 0.0
14.0 dB = 0.0
13.5 dB = 0.0
13.0 dB = 0.0
12.5 dB = 0.0
12.0 dB = 0.0
11.5 dB = 0.0
11.0 dB = 0.0
10.5 dB = 0.0
10.0 dB = 0.0
9.5 dB = 0.0
9.0 dB = 0.0
8.5 dB = 0.0
8.0 dB = 0.0
7.5 dB = 0.0
7.0 dB = 0.0
6.5 dB = 0.0
6.0 dB = 0.0
5.5 dB = 0.0
5.0 dB = 0.0
4.5 dB = 0.0
4.0 dB = 0.0
3.5 dB = 0.0
3.0 dB = 0.0
2.5 dB = 0.0
2.0 dB = 0.0
1.5 dB = 0.0
1.0 dB = 0.0
0.5 dB = 0.0
0.0 dB = 0.0
CDMA RVS ATT 2
RANGE = 61
UPPER = 30.0
30.0 dB = 0.0
29.5 dB = 0.5
29.0 dB = 0.5
28.5 dB = 0.5
28.0 dB = 0.5
27.5 dB = 0.5
27.0 dB = 0.5
26.5 dB = 0.5
26.0 dB = 0.5
25.5 dB = 0.5
25.0 dB = 0.5
24.5 dB = 0.5
24.0 dB = 0.5
23.5 dB = 0.0
23.0 dB = 0.0
22.5 dB = 0.0
22.0 dB = 0.0
21.5 dB = 0.0
21.0 dB = 0.0
20.5 dB = 0.0
20.0 dB = 0.0
19.5 dB = 0.0
19.0 dB = 0.0
18.5 dB = 0.0
18.0 dB = 0.0
17.5 dB = 0.0
17.0 dB = 0.0
16.5 dB = 0.0
16.0 dB = 0.0
15.5 dB = 0.0
15.0 dB = 0.0
14.5 dB = 0.0
14.0 dB = 0.0
13.5 dB = 0.0
13.0 dB = 0.0
12.5 dB = 0.0
12.0 dB = 0.0
11.5 dB = 0.0
11.0 dB = 0.0
10.5 dB = 0.0
10.0 dB = 0.0
9.5 dB = 0.0
9.0 dB = 0.0
8.5 dB = 0.0
8.0 dB = 0.0
7.5 dB = 0.0
7.0 dB = 0.0
6.5 dB = 0.0
6.0 dB = 0.0
5.5 dB = 0.0
5.0 dB = 0.0
4.5 dB = 0.0
4.0 dB = 0.0
3.5 dB = 0.0
3.0 dB = 0.0
2.5 dB = 0.0
2.0 dB = 0.0
1.5 dB = 0.0
1.0 dB = 0.0
0.5 dB = 0.0
0.0 dB = 0.0
CDMA RVS ATT 3
RANGE = 61
UPPER = 30.0
30.0 dB = 0.0
29.5 dB = 0.0
29.0 dB = 0.0
28.5 dB = 0.0
28.0 dB = 0.0
27.5 dB = 0.0
27.0 dB = 0.0
26.5 dB = 0.0
26.0 dB = 0.0
25.5 dB = 0.0
25.0 dB = 0.0
24.5 dB = 0.0
24.0 dB = 0.0
23.5 dB = 0.0
23.0 dB = 0.0
22.5 dB = 0.0
22.0 dB = 0.0
21.5 dB = 0.0
21.0 dB = 0.0
20.5 dB = 0.0
20.0 dB = 0.0
19.5 dB = 0.0
19.0 dB = 0.0
18.5 dB = 0.0
18.0 dB = 0.0
17.5 dB = 0.0
17.0 dB = 0.0
16.5 dB = 0.0
16.0 dB = 0.0
15.5 dB = 0.0
15.0 dB = 0.0
14.5 dB = 0.0
14.0 dB = 0.0
13.5 dB = 0.0
13.0 dB = 0.0
12.5 dB = 0.0
12.0 dB = 0.0
11.5 dB = 0.0
11.0 dB = 0.0
10.5 dB = 0.0
10.0 dB = 0.0
9.5 dB = 0.0
9.0 dB = 0.0
8.5 dB = 0.0
8.0 dB = 0.0
7.5 dB = 0.0
7.0 dB = 0.0
6.5 dB = 0.0
6.0 dB = 0.0
5.5 dB = 0.0
5.0 dB = 0.0
4.5 dB = 0.0
4.0 dB = 0.0
3.5 dB = 0.0
3.0 dB = 0.0
2.5 dB = 0.0
2.0 dB = 0.0
1.5 dB = 0.0
1.0 dB = 0.0
0.5 dB = 0.0
0.0 dB = 0.0
LTE FWD ATT 1
RANGE = 61
UPPER = 30.0
30.0 dB = 1.0
29.5 dB = 1.0
29.0 dB = 1.0
28.5 dB = 1.0
28.0 dB = 1.0
27.5 dB = 1.0
27.0 dB = 1.0
26.5 dB = 1.0
26.0 dB = 1.0
25.5 dB = 1.0
25.0 dB = 1.0
24.5 dB = 1.0
24.0 dB = 1.0
23.5 dB = 1.0
23.0 dB = 0.5
22.5 dB = 0.5
22.0 dB = 0.5
21.5 dB = 0.5
21.0 dB = 0.5
20.5 dB = 0.5
20.0 dB = 0.5
19.5 dB = 0.5
19.0 dB = 0.5
18.5 dB = 0.5
18.0 dB = 0.5
17.5 dB = 0.5
17.0 dB = 0.5
16.5 dB = 0.5
16.0 dB = 0.5
15.5 dB = 0.5
15.0 dB = 0.5
14.5 dB = 0.5
14.0 dB = 0.5
13.5 dB = 0.5
13.0 dB = 0.5
12.5 dB = 0.5
12.0 dB = 0.5
11.5 dB = 0.5
11.0 dB = 0.5
10.5 dB = 0.5
10.0 dB = 0.5
9.5 dB = 0.5
9.0 dB = 0.5
8.5 dB = 0.0
8.0 dB = 0.0
7.5 dB = 0.0
7.0 dB = 0.0
6.5 dB = 0.0
6.0 dB = 0.0
5.5 dB = 0.0
5.0 dB = 0.0
4.5 dB = 0.0
4.0 dB = 0.0
3.5 dB = 0.0
3.0 dB = 0.0
2.5 dB = 0.0
2.0 dB = 0.0
1.5 dB = 0.0
1.0 dB = 0.0
0.5 dB = 0.0
0.0 dB = 0.0
LTE FWD ATT 2
RANGE = 61
UPPER = 30.0
30.0 dB = 1.0
29.5 dB = 1.0
29.0 dB = 1.0
28.5 dB = 1.0
28.0 dB = 1.0
27.5 dB = 1.0
27.0 dB = 0.5
26.5 dB = 0.5
26.0 dB = 0.5
25.5 dB = 0.5
25.0 dB = 0.5
24.5 dB = 0.5
24.0 dB = 0.5
23.5 dB = 0.5
23.0 dB = 0.5
22.5 dB = 0.5
22.0 dB = 0.5
21.5 dB = 0.5
21.0 dB = 0.5
20.5 dB = 0.5
20.0 dB = 0.5
19.5 dB = 0.5
19.0 dB = 0.5
18.5 dB = 0.5
18.0 dB = 0.5
17.5 dB = 0.5
17.0 dB = 0.5
16.5 dB = 0.5
16.0 dB = 0.5
15.5 dB = 0.5
15.0 dB = 0.5
14.5 dB = 0.5
14.0 dB = 0.5
13.5 dB = 0.5
13.0 dB = 0.5
12.5 dB = 0.5
12.0 dB = 0.5
11.5 dB = 0.5
11.0 dB = 0.5
10.5 dB = 0.5
10.0 dB = 0.5
9.5 dB = 0.0
9.0 dB = 0.0
8.5 dB = 0.0
8.0 dB = 0.0
7.5 dB = 0.0
7.0 dB = 0.0
6.5 dB = 0.0
6.0 dB = 0.0
5.5 dB = 0.0
5.0 dB = 0.0
4.5 dB = 0.0
4.0 dB = 0.0
3.5 dB = 0.0
3.0 dB = 0.0
2.5 dB = 0.0
2.0 dB = 0.0
1.5 dB = 0.0
1.0 dB = 0.0
0.5 dB = 0.0
0.0 dB = 0.0
LTE RVS ATT 1
RANGE = 61
UPPER = 30.0
30.0 dB = 1.0
29.5 dB = 1.0
29.0 dB = 1.0
28.5 dB = 1.0
28.0 dB = 1.0
27.5 dB = 1.0
27.0 dB = 1.0
26.5 dB = 1.0
26.0 dB = 1.0
25.5 dB = 1.0
25.0 dB = 0.5
24.5 dB = 0.5
24.0 dB = 0.5
23.5 dB = 0.5
23.0 dB = 0.5
22.5 dB = 0.5
22.0 dB = 0.5
21.5 dB = 0.5
21.0 dB = 0.5
20.5 dB = 0.5
20.0 dB = 0.5
19.5 dB = 0.5
19.0 dB = 0.5
18.5 dB = 0.5
18.0 dB = 0.5
